,0
17,"Wi-Fi facility is available throughout the campus. It is completely free, and a huge amount of internet can also be used. The campus is exceptionally good, and classrooms are huge and really provide you with a feeling that..."
18,"There are nearly 95% placements in our college, and if you do perform well in placements, then you'll surely get a nice salary package. The average salary package offered in our department is 20-40 LPA. Roles are offered depending on what course you pursue, in which field you want to work and also your skills. Around 50% of the students do internships or some sort of projects over there."
19,"Facilities available in classrooms and library are awesome. Classrooms are centrally air-conditioned and equipped with Wi-Fi facility and charging points. Facilities in the hostel are not that fascinating, but they are not that bad. The mess food is average and sometimes very nice. Rooms are old and very small, but at the same time, hostels provide you with all the sports facilities, common rooms, reading rooms, music room, dance room and a TV room. The canteen food is good and inexpensive. Medi..."
20,"1) approximately 95% of students were placed from our department into top companies 2)the highest salary-About 90 Lacs/per annum, Average-13 Lacs/per annum, the lowest-10 Lacs/per annum 3)Top recruiters- Capgemini, amazon, zomato, google, kpmg, dell, infosys, wipro, ibm etc. 4)Top roles offered- the top roles offered in our course were Software engineer, software developer, app developer, game developer, data scientist 5)The highest salary ever offered in the course was Rs-1.42 crores/annum, ave..."
21,"I am in B.Tech 3rd year. About 40% of students in our course got placed. The highest salary package offered is 35 LPA, and the average salary package offered is 10 LPA, and the lowest salary package offered is 7 LPA. Companies like Schlumberger, L&T, ONGC, and ISRO visited our campus for placements. Roles like financial analysts, field engineers, business analyst, core civil engineer, consultant, and risk analysts are offered to the students. Students got an internship in companies like Atkins, ..."
22,"1.15% students got placement. 2. 22lakh, 7 Lacs ,11lakh is the highest, lowest and average salary offered. 3. Schlumberger, P&G, Afcons infrastructure limited, L&T construction offered the jobs. 4. Site manager, operational head, financial analyst, risk analyst was the roles offered. 6. 60% of the students got internship from Schlumberger, AB in Bev, P&G, nomura, publicizes sapient, Afcons infrastructure limited, kolte patel developers, simplex infrastructures, ."
23,"Environment 3 labs, structure 5l..."
24,"Institute has a record of 100% placements of students who are participating in the placement process. The average CTC is around 18.5 LPA while the highest package offered is being 32L. Top recruiting companies were Reckitt Benckiser, OnePlus, Accenture, Deloitte, etc."
25,"DMS has all the facilities required for the students as being the finest institute if the research field is concerned. Institute has 24 hrs Wi-Fi facility, very well-equipped labs with all the facilities required and library with a ..."
26,"1. 100% placements. 2. The highest salary =32, the lowest=7.5 and avg=18.4L was offered. 3. Rb, shell, synergy consulting, wipro, brillo offered the jobs. 4. Leadership roles in IT, data analyst, area manager etc. were the roles offered. 6. 100% opportunity for the internship also. All the students got internship offers."
27,"1. Facilities and infrastructure for the course is very good. We have Wi-Fi, labs, classrooms, library and everything is available for all the students. 2. Except for the size ..."
28,"Placements offered in the college were extraordinary. Many companies visit campus. These companies providing good roles in the organisation were preferred to have an enhancing career growth for the students. The placement process was carried out smoothly. Excellent Placements year on year and regarding the percentage, it is 100% for our senior batch. Summer placements is going very good. The average placement package is expected to increase, and everyone had ample opportunity to prove themselves..."
29,"In 2019 batch pass outs had a 100% placement with a median salary package of 18 LPA. The minimum was 12 LPA, and the maximum was around 26 LPA. Wipro, GE, Accenture etc., were some of the big companies came for recruitment. In our batch, 2021 pass out 46 out of 116 got internships till now. RB, Accenture, ICICI were some of the companies that came for internships."
30,"Infrastructure and facilities provided by the college for our course are really good, and so much of support for the students from the..."
31,"100 percent placement with a batch strength of 112. the highest package was 27 Lacs and the lowest package was 9 Lacs approximately with average in the range of 19 Lacs. Top companies were accenture strategy, deoitte, rb, value labs, wipro, capg, ey etc. Sales, analyst and consultants 100 percent internship in summers with companies such as wipro, synergy etc."
32,The facilities are upto date with strategy labs and enough reading material and online access provided. Wi-fi is super strong. Central lib...
